"concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
19126602,"risperidone 25 MG Injection [Risperdal]","Drug","RxNorm","Branded Drug","S","706831","2007-07-01","2099-12-31",
19126600,"risperidone 50 MG Injection [Risperdal]","Drug","RxNorm","Branded Drug","S","706829","2007-07-01","2099-12-31",
800892,"clozapine 25 MG Oral Tablet","Drug","RxNorm","Clinical Drug","S","197536","1970-01-01","2099-12-31",
19075608,"clozapine 200 MG Oral Tablet","Drug","RxNorm","Clinical Drug","S","309374","1970-01-01","2099-12-31",
19126596,"risperidone 12.5 MG Injection [Risperdal]","Drug","RxNorm","Branded Drug","S","706825","2007-07-01","2099-12-31",
785875,"olanzapine 10 MG Injection [Zyprexa]","Drug","RxNorm","Branded Drug","S","545353","2005-09-11","2099-12-31",
35603058,"olanzapine 300 MG Injection [Zyprexa]","Drug","RxNorm","Branded Drug","S","1718932","2016-05-02","2099-12-31",
19114105,"clozapine 25 MG Disintegrating Oral Tablet [Fazaclo]","Drug","RxNorm","Branded Drug","S","543013","2005-09-11","2099-12-31",
19004670,"clozapine 25 MG Oral Tablet [Clozaril]","Drug","RxNorm","Branded Drug","S","104775","1970-01-01","2099-12-31",
4276526,"Cigarette smoker","Observation","SNOMED","Clinical Finding","S","65568007","2002-01-31","2099-12-31",
42800968,"lurasidone hydrochloride 120 MG Oral Tablet [Latuda]","Drug","RxNorm","Branded Drug","S","1297357","2012-07-02","2099-12-31",
800937,"clozapine 12.5 MG Disintegrating Oral Tablet","Drug","RxNorm","Clinical Drug","S","721773","2007-07-29","2099-12-31",
4038739,"Exposed to tobacco smoke at home","Observation","SNOMED","Clinical Finding","S","228524006","2002-01-31","2099-12-31",
45146712,"clozapine 100 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00378086001","2007-06-01","2099-12-31",
45380352,"aripiprazole 400 MG Injection [Abilify]","Drug","NDC","11-digit NDC",,"59148001971","2015-09-01","2099-12-31",
45239737,"risperidone 50 MG Injection [Risperdal]","Drug","NDC","11-digit NDC",,"50458030811","2007-07-01","2099-12-31",
44451420,"clozapine 100 MG Oral Tablet","Drug","NDC","11-digit NDC",,"65862084605","2017-01-01","2099-12-31",
44408422,"clozapine 100 MG Oral Tablet","Drug","NDC","11-digit NDC",,"16729014201","2016-04-01","2099-12-31",
44410469,"clozapine 200 MG Oral Tablet","Drug","NDC","11-digit NDC",,"65862084701","2017-01-01","2099-12-31",
45077499,"clozapine 25 MG Disintegrating Oral Tablet","Drug","NDC","11-digit NDC",,"00093301201","2012-09-01","2099-12-31",
45110585,"olanzapine 10 MG Injection [Zyprexa]","Drug","NDC","11-digit NDC",,"00002759701","2007-06-01","2099-12-31",
44969738,"clozapine 50 MG Oral Tablet","Drug","NDC","11-digit NDC",,"57664024188","2007-07-01","2099-12-31",
44423469,"clozapine 25 MG Oral Tablet","Drug","NDC","11-digit NDC",,"16729014116","2017-05-01","2099-12-31",
46251766,"clozapine 200 MG Disintegrating Oral Tablet","Drug","NDC","11-digit NDC",,"00093308784","2015-06-01","2099-12-31",
45178528,"olanzapine 405 MG Injection [Zyprexa]","Drug","NDC","11-digit NDC",,"00002763711","2015-12-01","2099-12-31",
44868870,"aripiprazole 400 MG Injection [Abilify]","Drug","NDC","11-digit NDC",,"59148001970","2015-09-01","2099-12-31",
44855815,"clozapine 25 MG Oral Tablet [Clozaril]","Drug","NDC","11-digit NDC",,"00078012605","2007-06-01","2020-07-01","D"
37620364,"clozapine 150 MG Disintegrating Oral Tablet","Drug","NDC","11-digit NDC",,"00093537601","2020-09-01","2099-12-31",
35518204,"clozapine 100 MG Oral Tablet","Drug","NDC","11-digit NDC",,"60687041511","2018-10-01","2099-12-31",
44425985,"ziprasidone 20 MG Injection [Geodon]","Drug","NDC","11-digit NDC",,"00049120301","2017-09-01","2099-12-31",
35518203,"clozapine 25 MG Oral Tablet","Drug","NDC","11-digit NDC",,"60687040411","2018-10-01","2099-12-31",
45356300,"clozapine 25 MG Disintegrating Oral Tablet [Fazaclo]","Drug","NDC","11-digit NDC",,"18860010210","2008-01-01","2099-12-31",
45077363,"clozapine 25 MG Oral Tablet [Clozaril]","Drug","NDC","11-digit NDC",,"00078012606","2007-06-01","2099-12-31",
45256857,"risperidone 25 MG Injection [Risperdal]","Drug","NDC","11-digit NDC",,"50458030601","2007-08-01","2099-12-31",
44872074,"olanzapine 405 MG Injection [Zyprexa]","Drug","NDC","11-digit NDC",,"00002766001","2015-12-01","2099-12-31",
36094864,"clozapine 200 MG Disintegrating Oral Tablet","Drug","NDC","11-digit NDC",,"00093537719","2020-09-01","2099-12-31",
45606677,"Smoking (tobacco) complicating the puerperium","Condition","ICD10CM","6-char billing code",,"O99.335","1970-01-01","2099-12-31",
45266627,"clozapine 50 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00378097201","2010-06-01","2099-12-31",
45196549,"clozapine 100 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00093777205","2009-10-01","2099-12-31",
45247982,"clozapine 50 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00093440401","2007-06-01","2099-12-31",
44907438,"clozapine 200 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00093440501","2007-07-01","2099-12-31",
45231026,"clozapine 25 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00093435905","2007-08-01","2099-12-31",
45231028,"clozapine 200 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00093440505","2007-07-01","2099-12-31",
45163936,"clozapine 25 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00378082501","2007-06-01","2099-12-31",
44436705,"clozapine 100 MG Oral Tablet","Drug","NDC","11-digit NDC",,"51862027301","2016-09-01","2099-12-31",
44422786,"clozapine 25 MG Oral Tablet","Drug","NDC","11-digit NDC",,"65862084401","2017-01-01","2099-12-31",
44969741,"clozapine 25 MG Oral Tablet","Drug","NDC","11-digit NDC",,"57664034588","2007-06-01","2099-12-31",
44426865,"clozapine 100 MG Oral Tablet","Drug","NDC","11-digit NDC",,"65862084601","2017-01-01","2099-12-31",
45168433,"clozapine 200 MG Disintegrating Oral Tablet [Fazaclo]","Drug","NDC","11-digit NDC",,"18860010610","2010-08-01","2099-12-31",
45226825,"aripiprazole 300 MG Injection [Abilify]","Drug","NDC","11-digit NDC",,"59148001870","2015-09-01","2099-12-31",
44941326,"clozapine 100 MG Disintegrating Oral Tablet","Drug","NDC","11-digit NDC",,"00093301084","2012-09-01","2020-08-01","D"
44408884,"clozapine 100 MG Disintegrating Oral Tablet","Drug","NDC","11-digit NDC",,"00093541901","2017-09-01","2099-12-31",
45253938,"clozapine 200 MG Disintegrating Oral Tablet [Fazaclo]","Drug","NDC","11-digit NDC",,"18860010601","2010-08-01","2099-12-31",
