"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
5083,5083,0,0
8668,8668,0,0
8668,38004358,1,1
8716,8716,0,0
8717,8717,0,0
8717,38004287,1,1
8717,38004285,1,1
8717,38004290,2,2
8717,38004282,2,2
8717,38004277,1,1
8717,8913,1,1
8717,38004284,1,1
8717,38004515,1,1
8717,38004279,1,1
8717,581379,2,2
8717,581383,2,2
8717,38004280,2,2
8717,38004283,2,2
8717,32037,1,1
8717,38004278,1,1
8717,38004291,2,2
8717,38004288,1,1
8717,38004275,1,1
8717,32254,1,1
8717,38004281,2,2
8717,38004286,2,2
8717,38004276,2,2
8717,38004270,1,1
8717,38004274,2,2
8756,8756,0,0
8756,32693,1,1
8756,32276,1,1
8756,581385,1,1
8756,5084,1,1
8756,38004515,1,1
8761,8761,0,0
8782,8782,0,0
8809,8809,0,0
8870,8870,0,0
8883,38004261,1,1
8883,8883,0,0
8883,38004262,1,1
8947,8947,0,0
8964,8964,0,0
8966,8966,0,0
8971,8971,0,0
9201,38004285,2,2
9201,38004288,2,2
9201,581384,1,1
9201,32254,2,2
9201,8717,1,1
9201,38004286,3,3
9201,8913,2,2
9201,38004275,2,2
9201,9201,0,0
9201,38004281,3,3
9201,38004274,3,3
9201,38004283,3,3
9201,38004278,2,2
9201,38004277,2,2
9201,32760,1,1
9201,581383,3,3
9201,38004270,2,2
9201,38004284,2,2
9201,38004291,3,3
9201,38004279,2,2
9201,38004276,3,3
9201,38004290,3,3
9201,32037,2,2
9201,38004280,3,3
9201,581379,3,3
9201,38004287,2,2
9201,38004515,2,2
9201,8971,1,1
9201,38004282,3,3
9202,38004229,2,2
9202,9202,0,0
9202,38004239,2,2
9202,38004267,2,2
9202,38004696,1,1
9202,38004235,2,2
9202,38004243,2,2
9202,38004223,2,2
9202,903270,3,3
9202,8650,2,2
9202,38004210,2,2
9202,38003821,2,2
9202,38004253,3,3
9202,38004264,2,2
9202,38004246,2,2
9202,8966,1,1
9202,38004453,1,1
9202,32276,2,2
9202,8716,1,1
9202,38004218,2,2
9202,8905,1,1
9202,8782,1,1
9202,38004256,3,3
9202,38004241,2,2
9202,38004216,2,2
9202,38004211,2,2
9202,8960,1,1
9202,38004260,2,2
9202,38004228,2,2
9202,705159,2,2
9202,8756,1,1
9202,38004238,2,2
9202,38004245,2,2
9202,38004259,2,2
9202,38004263,2,2
9202,38004231,2,2
9202,8584,1,1
9202,38004261,3,3
9202,38004217,2,2
9202,38004227,2,2
9202,38004266,2,2
9202,38004288,2,2
9202,38004209,2,2
9202,38004258,2,2
9202,38004526,2,2
9202,581477,1,1
9202,38004215,2,2
9202,38004208,2,2
9202,38004677,1,1
9202,8761,1,1
9202,38004291,3,3
9202,38004242,2,2
9202,8968,2,2
9202,8974,2,2
9202,38004225,2,2
9202,32261,1,1
9202,581479,1,1
9202,38004233,2,2
9202,38004234,2,2
9202,8941,1,1
9202,5084,2,2
9202,38004269,3,3
9202,8977,1,1
9202,38004220,2,2
9202,38003820,2,2
9202,38003620,1,1
