"concept_id_1","concept_id_2","relationship_id","valid_start_date","valid_end_date","invalid_reason"
40231375,45193508,"Mapped from","2010-12-06","2099-12-31",
40231375,44852992,"Mapped from","2010-12-06","2099-12-31",
40231375,40231375,"Maps to","2010-12-05","2099-12-31",
40231375,40231375,"Mapped from","2010-12-05","2099-12-31",
40231375,40230763,"RxNorm is a","2014-12-01","2099-12-31",
40231375,21056666,"Available as box","2015-08-17","2099-12-31",
40231375,43280272,"Available as box","2016-09-30","2099-12-31",
40231375,41009807,"Has marketed form","2017-07-18","2099-12-31",
40231375,40999762,"Available as box","2017-07-18","2099-12-31",
40231375,21145006,"Has marketed form","2017-06-24","2099-12-31",
40231375,45006115,"Mapped from","2010-12-06","2099-12-31",
40231375,40999763,"Available as box","2017-07-18","2099-12-31",
40231375,21056665,"Has marketed form","2015-08-17","2099-12-31",
46275767,44868870,"Mapped from","2015-09-01","2099-12-31",
46275767,46275767,"Maps to","2015-09-08","2099-12-31",
46275767,44171729,"Has marketed form","2017-10-06","2099-12-31",
46275767,46275767,"Mapped from","2015-09-08","2099-12-31",
46275767,45380352,"Mapped from","2015-09-01","2099-12-31",
46275767,44171727,"Has marketed form","2018-08-02","2099-12-31",
46275767,36480396,"Mapped from","2017-10-01","2099-12-31",
46275767,46275749,"RxNorm is a","2015-09-08","2099-12-31",
46275767,44186695,"Has marketed form","2017-10-06","2099-12-31",
46275767,44167977,"Has marketed form","2017-10-06","2099-12-31",
46275767,44185246,"Available as box","2017-10-06","2099-12-31",
46275767,44167976,"Has marketed form","2017-10-06","2099-12-31",
46275767,44167978,"Has marketed form","2017-10-06","2099-12-31",
46275767,44160403,"Has marketed form","2017-10-06","2099-12-31",
46275767,44051907,"Has marketed form","2018-08-02","2099-12-31",
19004691,44991785,"Mapped from","1970-01-01","2099-12-31",
19004691,40744050,"Has marketed form","2018-06-04","2099-12-31",
19004691,40744048,"Has marketed form","2018-06-04","2099-12-31",
19004691,40027335,"RxNorm is a","2014-12-01","2099-12-31",
19004691,44416833,"Mapped from","2016-07-01","2099-12-31",
19004691,36233959,"RxNorm is a","2016-08-01","2099-12-31",
19004691,21123644,"Has marketed form","2015-08-17","2099-12-31",
19004691,21045278,"Has marketed form","2017-06-24","2099-12-31",
19004691,21035416,"Has marketed form","2017-06-24","2099-12-31",
19004691,19004691,"Maps to","1970-01-01","2099-12-31",
19004691,40744051,"Has marketed form","2018-06-04","2099-12-31",
19004691,19004691,"Mapped from","1970-01-01","2099-12-31",
19004691,40744049,"Has marketed form","2018-06-04","2099-12-31",
19004691,21084559,"Available as box","2015-08-17","2099-12-31",
19004691,44102724,"Has marketed form","2017-06-25","2099-12-31",
19004691,43260729,"Available as box","2016-09-30","2099-12-31",
19004691,21143444,"Available as box","2015-08-17","2099-12-31",
19004691,21133512,"Available as box","2015-08-17","2099-12-31",
19004691,21045277,"Has marketed form","2017-06-24","2099-12-31",
19004691,19058829,"Consists of","2005-09-16","2099-12-31",
19004691,2040365,"Has marketed form","2020-07-31","2099-12-31",
19004691,800881,"Tradename of","2005-04-04","2099-12-31",
4038739,4038739,"Maps to","1970-01-01","2099-12-31",
4038739,45568046,"Mapped from","2017-10-01","2099-12-31",
4038739,4038739,"Mapped from","1970-01-01","2099-12-31",
4038739,4184633,"Is a","2011-07-31","2099-12-31",
45193508,40231375,"Maps to","2010-12-06","2099-12-31",
45146712,800881,"Maps to","2009-03-02","2099-12-31",
45294132,800881,"Maps to","1970-01-01","2099-12-31",
45247980,800892,"Maps to","2007-07-03","2099-12-31",
45281330,35603134,"Maps to","2015-12-01","2099-12-31",
45069390,19075608,"Maps to","2010-07-06","2099-12-31",
37620366,40223450,"Maps to","2020-09-01","2099-12-31",
45127810,712649,"Maps to","1970-01-01","2099-12-31",
36380456,800881,"Maps to","2020-10-25","2099-12-31",
1225163,800892,"Maps to","2021-01-31","2099-12-31",
45566810,45591117,"Is a","2016-03-25","2099-12-31",
45566810,4218741,"Maps to","1970-01-01","2099-12-31",
19102,45551416,"Subsumes","2016-03-25","2099-12-31",
19102,45609261,"Subsumes","2016-03-25","2099-12-31",
19102,440612,"Maps to","1970-01-01","2099-12-31",
19102,45585168,"Subsumes","2016-03-25","2099-12-31",
953352,953352,"Maps to","2018-01-01","2099-12-31",
953352,953352,"Mapped from","2018-01-01","2099-12-31",
2514535,2514535,"Maps to","2008-04-01","2099-12-31",
2514535,2514535,"Mapped from","2008-04-01","2099-12-31",
2514535,2617450,"Subsumes","1970-01-01","2099-12-31",
2514537,2514537,"Maps to","2008-04-01","2099-12-31",
2514537,2514537,"Mapped from","2008-04-01","2099-12-31",
42742406,42742406,"Maps to","2012-05-07","2099-12-31",
42742406,42742406,"Mapped from","2012-05-07","2099-12-31",
45890719,45890719,"Maps to","2014-11-12","2099-12-31",
45890719,45890719,"Mapped from","2014-11-12","2099-12-31",
437264,4103418,"Subsumes","2011-07-31","2099-12-31",
437264,35225315,"Value mapped from","1970-01-01","2099-12-31",
437264,44831104,"Mapped from","1970-01-01","2099-12-31",
437264,437264,"Maps to","1970-01-01","2099-12-31",
437264,437264,"Mapped from","1970-01-01","2099-12-31",
937684,937684,"Maps to","2017-11-06","2099-12-31",
937684,937684,"Mapped from","2017-11-06","2099-12-31",
2617450,2617450,"Maps to","1970-01-01","2099-12-31",
2617450,2514535,"Is a","1970-01-01","2099-12-31",
2617450,2617450,"Mapped from","1970-01-01","2099-12-31",
45589999,440612,"Maps to","1970-01-01","2099-12-31",
45589999,19101,"Is a","2016-03-25","2099-12-31",
45604482,440612,"Maps to","1970-01-01","2099-12-31",
45604482,19098,"Is a","2016-03-25","2099-12-31",
41137085,41137085,"Maps to","2017-07-18","2099-12-31",
41137085,41137085,"Mapped from","2017-07-18","2099-12-31",
41137085,43801010,"Marketed form of","2017-07-18","2099-12-31",
41137085,21172948,"Marketed form of","2017-07-18","2099-12-31",
41137085,41284523,"Marketed form of","2017-07-18","2099-12-31",
41137085,800892,"Marketed form of","2017-07-18","2099-12-31",
40744041,40744042,"Marketed form of","2018-06-04","2099-12-31",
40744041,21104258,"Marketed form of","2018-06-04","2099-12-31",
40744041,40744041,"Maps to","2018-09-19","2099-12-31",
40744041,40744041,"Mapped from","2018-09-19","2099-12-31",
40744041,800921,"Marketed form of","2018-06-04","2099-12-31",
40744041,36885893,"Marketed form of","2018-06-04","2099-12-31",
21133512,40744050,"Has marketed form","2018-06-04","2099-12-31",
21133512,21035416,"Has marketed form","2015-08-17","2099-12-31",
21133512,21133512,"Maps to","2016-08-07","2099-12-31",
21133512,19004691,"Box of","2015-08-17","2099-12-31",
21133512,21133512,"Mapped from","2016-08-07","2099-12-31",
21133512,21074882,"Tradename of","2015-08-17","2099-12-31",
43030241,43184124,"Marketed form of","2019-10-06","2099-12-31",
43030241,800881,"Marketed form of","2019-10-06","2099-12-31",
43030241,43030241,"Maps to","2019-10-11","2099-12-31",
43030241,43030241,"Mapped from","2019-10-11","2099-12-31",
19099849,36221896,"RxNorm is a","2016-08-01","2099-12-31",
19099849,19121041,"Consists of","2005-09-16","2099-12-31",
19099849,800881,"Tradename of","2005-04-04","2099-12-31",
19099849,19099849,"Maps to","1970-01-01","2099-12-31",
19099849,19099849,"Mapped from","1970-01-01","2099-12-31",
19099849,40027336,"RxNorm is a","2014-12-01","2099-12-31",
40855894,41304867,"Marketed form of","2017-07-18","2099-12-31",
40855894,41097531,"Marketed form of","2017-07-18","2099-12-31",
40855894,40855894,"Maps to","2017-07-18","2099-12-31",
40855894,40855894,"Mapped from","2017-07-18","2099-12-31",
40855894,19075608,"Marketed form of","2017-07-18","2099-12-31",
40855894,41315800,"Marketed form of","2017-07-18","2099-12-31",
43277221,43277221,"Maps to","2016-12-12","2099-12-31",
43277221,43266183,"Box of","2016-09-30","2099-12-31",
43277221,43277221,"Mapped from","2016-12-12","2099-12-31",
43277221,21084558,"Tradename of","2016-09-30","2099-12-31",
40887247,36885893,"Marketed form of","2017-07-18","2099-12-31",
40887247,40887247,"Maps to","2017-07-18","2099-12-31",
40887247,41128872,"Marketed form of","2017-07-18","2099-12-31",
40887247,40887247,"Mapped from","2017-07-18","2099-12-31",
40887247,40879074,"Marketed form of","2017-07-18","2099-12-31",
40887247,800921,"Marketed form of","2017-07-18","2099-12-31",
41261474,41284524,"Marketed form of","2017-07-18","2099-12-31",
41261474,800892,"Marketed form of","2017-07-18","2099-12-31",
41261474,41261474,"Maps to","2017-07-18","2099-12-31",
41261474,43277223,"Marketed form of","2017-07-18","2099-12-31",
41261474,41261474,"Mapped from","2017-07-18","2099-12-31",
