"concept_id","concept_synonym_name","language_concept_id"
42707650,"Latuda 20 MG Oral Tablet",4180186
40231375,"Latuda 80 MG Oral Tablet",4180186
19126602,"Risperdal 25 MG Injection",4180186
46275767,"Abilify 400 MG Injection",4180186
46275767,"Abilify Maintena 400 MG Injection",4180186
19126600,"Risperdal 50 MG Injection",4180186
40231371,"Latuda 40 MG Oral Tablet",4180186
46275771,"Abilify 300 MG Injection",4180186
46275771,"Abilify Maintena 300 MG Injection",4180186
43532950,"Latuda 60 MG Oral Tablet",4180186
35603134,"Zyprexa 210 MG Injection",4180186
35603134,"Zyprexa Relprevv 210 MG Injection",4180186
19126596,"Risperdal 12.5 MG Injection",4180186
785875,"Zyprexa 10 MG Injection",4180186
35603058,"Zyprexa 300 MG Injection",4180186
35603058,"Zyprexa Relprevv 300 MG Injection",4180186
35603054,"Zyprexa 405 MG Injection",4180186
35603054,"Zyprexa Relprevv 405 MG Injection",4180186
19004691,"Clozaril 100 MG Oral Tablet",4180186
712649,"Geodon 20 MG Injection",4180186
712649,"Geodon (as ziprasidone mesylate) 20 MG Injection",4180186
19114105,"Fazaclo 25 MG Disintegrating Oral Tablet",4180186
19004670,"Clozaril 25 MG Oral Tablet",4180186
4005823,"Tobacco user (finding)",4180186
4005823,"Tobacco use",4180186
4276526,"Cigarette smoker (finding)",4180186
42534813,"Maternal tobacco use in pregnancy (finding)",4180186
4298794,"Smoker (finding)",4180186
4298794,"Current smoker",4180186
42800968,"Latuda 120 MG Oral Tablet",4180186
19126598,"Risperdal 37.5 MG Injection",4180186
800935,"Fazaclo 100 MG Disintegrating Oral Tablet",4180186
40223451,"Fazaclo 200 MG Disintegrating Oral Tablet",4180186
40224294,"Fazaclo 150 MG Disintegrating Oral Tablet",4180186
43013567,"Versacloz 50 MG/ML Oral Suspension",4180186
43013567,"Versacloz 50 MG per 1 ML Oral Suspension",4180186
4218741,"Chews tobacco (finding)",4180186
45757177,"Tobacco use in mother complicating childbirth (finding)",4180186
45757177,"Tobacco use in childbirth",4180186
4038739,"Exposed to tobacco smoke at home (finding)",4180186
1314464,"Most rct tob stat free",4180186
434697,"Maternal tobacco abuse (finding)",4180186
44869994,"lurasidone hydrochloride 20mg/1 ORAL TABLET, FILM COATED",4180186
45193508,"lurasidone hydrochloride 80mg/1 ORAL TABLET, FILM COATED",4180186
45308041,"risperidone KIT",4180186
45146712,"clozapine 100mg/1 ORAL TABLET",4180186
45380352,"aripiprazole KIT",4180186
45239737,"risperidone KIT",4180186
45294132,"clozapine 100mg/1 ORAL TABLET",4180186
44451420,"clozapine 100mg/1 ORAL TABLET",4180186
44976450,"clozapine 100mg/1 ORAL TABLET",4180186
45006113,"lurasidone hydrochloride 40mg/1 ORAL TABLET, FILM COATED",4180186
45380351,"aripiprazole KIT",4180186
45210790,"lurasidone hydrochloride 60mg/1 ORAL TABLET, FILM COATED",4180186
45043334,"clozapine 50mg/1 ORAL TABLET",4180186
44408422,"clozapine 100mg/1 ORAL TABLET",4180186
44422160,"clozapine 25mg/1 ORAL TABLET",4180186
45247980,"clozapine 25mg/1 ORAL TABLET",4180186
44410469,"clozapine 200mg/1 ORAL TABLET",4180186
46252704,"clozapine 200mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
45281330,"olanzapine pamoate INTRAMUSCULAR KIT [zyprexa relprevv]",4180186
44916108,"risperidone KIT",4180186
45069390,"clozapine 200mg/1 ORAL TABLET",4180186
44440365,"clozapine 100mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
45110585,"olanzapine 10mg/2mL INTRAMUSCULAR INJECTION, POWDER, FOR SOLUTION [zyprexa intramuscular]",4180186
46255420,"clozapine 150mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
44969738,"clozapine 50mg/1 ORAL TABLET",4180186
45332406,"olanzapine pamoate INTRAMUSCULAR KIT [zyprexa relprevv]",4180186
44423469,"clozapine 25mg/1 ORAL TABLET",4180186
42825606,"clozapine 200mg/1 ORAL TABLET",4180186
44449864,"clozapine 25mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
44451191,"clozapine 100mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
45137217,"clozapine 25mg/1 ORAL TABLET",4180186
45178528,"olanzapine pamoate INTRAMUSCULAR KIT [zyprexa relprevv]",4180186
37620366,"clozapine 200mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
44416833,"clozapine 100mg/1 ORAL TABLET",4180186
44408973,"clozapine 25mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
37620364,"clozapine 150mg/1 ORAL TABLET, ORALLY DISINTEGRATING",4180186
45127810,"ziprasidone mesylate 20mg/mL INTRAMUSCULAR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",4180186
36380456,"clozapine 100mg/1 ORAL TABLET",4180186
44461925,"ziprasidone mesylate 20mg/mL INTRAMUSCULAR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",4180186
