"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
291,55462723.7593,,,,0.005246767202831524,2379,"database_schema"
91,28906854.1848,"Female",,,0.0031480423092129562,2379,"database_schema"
200,26555156.5612,"Male",,,0.007531493913021096,2379,"database_schema"
0,713.0133,"No matching concept",,,0,2379,"database_schema"
0,4859877.1051,,"0-9",,0,2379,"database_schema"
0,6018807.4078,,"10-19",,0,2379,"database_schema"
38,7011875.898,,"20-29",,0.005419377147111054,2379,"database_schema"
61,7518305.116,,"30-39",,0.008113530783711279,2379,"database_schema"
57,7323528.9847,,"40-49",,0.007783132983986536,2379,"database_schema"
81,8230156.9517,,"50-59",,0.009841853621426849,2379,"database_schema"
47,7286538.9725,,"60-69",,0.006450250273467538,2379,"database_schema"
7,4514695.4463,,"70-79",,0.001550492183417781,2379,"database_schema"
0,2698937.8772,,"80-89",,0,2379,"database_schema"
0,2367167.2277,"Female","0-9",,0,2379,"database_schema"
0,2954273.8943000003,"Female","10-19",,0,2379,"database_schema"
9,3592444.8238,"Female","20-29",,0.0025052576842307687,2379,"database_schema"
16,3894716.4541,"Female","30-39",,0.0041081296131729094,2379,"database_schema"
18,3785682.3187,"Female","40-49",,0.0047547571308575055,2379,"database_schema"
24,4291972.1201,"Female","50-59",,0.005591835018592995,2379,"database_schema"
21,3870644.0381,"Female","60-69",,0.005425453695377362,2379,"database_schema"
-5,2494833.8806,"Female","70-79",,-0.002004141453617551,2379,"database_schema"
0,1655119.4274,"Female","80-89",,0,2379,"database_schema"
0,2492690.3295,"Male","0-9",,0,2379,"database_schema"
0,3064497.177,"Male","10-19",,0,2379,"database_schema"
29,3419291.5918,"Male","20-29",,0.008481288951649098,2379,"database_schema"
45,3623420.999,"Male","30-39",,0.012419202740288585,2379,"database_schema"
39,3537717.5767,"Male","40-49",,0.011024056939101223,2379,"database_schema"
57,3938074.2036,"Male","50-59",,0.014474079728587469,2379,"database_schema"
26,3415825.0291999998,"Male","60-69",,0.007611631092851763,2379,"database_schema"
