"database_id","cohort_id","concept_set_id","concept_id","source_concept_id","concept_subjects","concept_count"
"database_schema",2379,0,800881,729421,-5,6
"database_schema",2379,0,800881,1225161,6,32
"database_schema",2379,0,800881,35518204,13,37
"database_schema",2379,0,800881,36197219,6,14
"database_schema",2379,0,800881,36380456,24,60
"database_schema",2379,0,800881,36391494,-5,5
"database_schema",2379,0,800881,43547658,-5,6
"database_schema",2379,0,800881,44408422,341,2940
"database_schema",2379,0,800881,44420693,148,956
"database_schema",2379,0,800881,44426865,781,6910
"database_schema",2379,0,800881,44432195,-5,-5
"database_schema",2379,0,800881,44433013,459,4216
"database_schema",2379,0,800881,44436705,94,235
"database_schema",2379,0,800881,44446231,62,363
"database_schema",2379,0,800881,44451420,493,3732
"database_schema",2379,0,800881,44899214,13,55
"database_schema",2379,0,800881,44976450,706,4832
"database_schema",2379,0,800881,45043369,70,320
"database_schema",2379,0,800881,45145317,9,16
"database_schema",2379,0,800881,45146712,1100,10330
"database_schema",2379,0,800881,45179468,1110,8910
"database_schema",2379,0,800881,45191248,201,1267
"database_schema",2379,0,800881,45196549,1181,10732
"database_schema",2379,0,800881,45282072,35,225
"database_schema",2379,0,800881,45294132,428,2844
"database_schema",2379,0,800881,45325242,25,102
"database_schema",2379,0,800892,729422,-5,7
"database_schema",2379,0,800892,1225163,-5,23
"database_schema",2379,0,800892,2720963,13,22
"database_schema",2379,0,800892,35518203,8,40
"database_schema",2379,0,800892,36197221,-5,5
"database_schema",2379,0,800892,36380458,-5,6
"database_schema",2379,0,800892,36391496,-5,5
"database_schema",2379,0,800892,44412409,72,501
"database_schema",2379,0,800892,44422160,205,1582
"database_schema",2379,0,800892,44422660,-5,-5
"database_schema",2379,0,800892,44422786,464,3550
"database_schema",2379,0,800892,44423469,135,1287
"database_schema",2379,0,800892,44427118,17,45
"database_schema",2379,0,800892,44429489,-5,-5
"database_schema",2379,0,800892,44446230,10,40
"database_schema",2379,0,800892,44855815,11,74
"database_schema",2379,0,800892,44969741,166,886
"database_schema",2379,0,800892,45043332,46,173
"database_schema",2379,0,800892,45137217,19,64
"database_schema",2379,0,800892,45163936,705,5725
