"cohort_id","concept_set_id","database_id","concept_id","concept_count","concept_subjects"
2379,0,"database_schema",44816350,8516,3111
2379,2,"database_schema",19094,-5,-5
2379,2,"database_schema",19098,6,-5
2379,2,"database_schema",19101,-5,-5
2379,2,"database_schema",19102,-5,-5
2379,2,"database_schema",434697,-5,-5
2379,2,"database_schema",437264,40,33
2379,2,"database_schema",440612,1971,1158
2379,2,"database_schema",937679,141,129
2379,2,"database_schema",937680,623,365
2379,2,"database_schema",937681,1673,561
2379,2,"database_schema",937682,3646,2073
2379,2,"database_schema",937683,4863,3342
2379,2,"database_schema",937684,258,224
2379,2,"database_schema",937685,92099,46868
2379,2,"database_schema",937686,9072,4717
2379,2,"database_schema",953268,290,217
2379,2,"database_schema",953352,155,128
2379,2,"database_schema",1314464,44,32
2379,2,"database_schema",1314465,-5,-5
2379,2,"database_schema",1568180,25,21
2379,2,"database_schema",1571934,-5,-5
2379,2,"database_schema",2101868,107949,60443
2379,2,"database_schema",2101895,22535,13037
2379,2,"database_schema",2101896,1820,1271
2379,2,"database_schema",2101897,626942,335023
2379,2,"database_schema",2108525,9954,6563
2379,2,"database_schema",2108526,508,442
2379,2,"database_schema",2514534,388096,239003
2379,2,"database_schema",2514535,53735,34730
2379,2,"database_schema",2514536,34404,26634
2379,2,"database_schema",2514537,2515,1278
2379,2,"database_schema",2617450,-5,-5
2379,2,"database_schema",2617464,46552,12420
2379,2,"database_schema",2617465,15341,3435
2379,2,"database_schema",2617806,-5,-5
2379,2,"database_schema",2617852,-5,-5
2379,2,"database_schema",2617854,-5,-5
2379,2,"database_schema",2617856,-5,-5
2379,2,"database_schema",4005823,1390977,609375
2379,2,"database_schema",4038739,1428,491
2379,2,"database_schema",4070519,2035,1076
2379,2,"database_schema",4103418,97663,46284
2379,2,"database_schema",4218741,99084,46175
2379,2,"database_schema",35210432,2035,1076
2379,2,"database_schema",35225267,195348,120085
2379,2,"database_schema",35225271,1390977,609375
2379,2,"database_schema",35225315,1081,636
2379,2,"database_schema",37017812,145391,76423
2379,2,"database_schema",40664492,15,15
2379,2,"database_schema",40664586,72,63
2379,2,"database_schema",40756893,64762,36785
2379,2,"database_schema",42534813,32073,15679
2379,2,"database_schema",42535213,1545,656
2379,2,"database_schema",42740611,-5,-5
2379,2,"database_schema",42742405,2403,1841
2379,2,"database_schema",42742406,17318,9586
2379,2,"database_schema",44786480,5296,4071
2379,2,"database_schema",44786481,623,469
2379,2,"database_schema",44826156,47,42
2379,2,"database_schema",44831104,40,33
2379,2,"database_schema",45533085,6554,1774
2379,2,"database_schema",45534323,18974,4935
2379,2,"database_schema",45534324,9930,8493
2379,2,"database_schema",45536972,78,18
2379,2,"database_schema",45536973,92,34
2379,2,"database_schema",45537659,1545,656
2379,2,"database_schema",45541762,168,40
2379,2,"database_schema",45546628,64,12
2379,2,"database_schema",45546629,142,39
2379,2,"database_schema",45551413,27,8
2379,2,"database_schema",45551415,244,53
2379,2,"database_schema",45551416,68,27
2379,2,"database_schema",45551417,5,-5
2379,2,"database_schema",45552107,145391,76423
2379,2,"database_schema",45552453,2860,856
2379,2,"database_schema",45552454,900,388
2379,2,"database_schema",45556188,58,18
2379,2,"database_schema",45560971,429,75
2379,2,"database_schema",45565768,-5,-5
2379,2,"database_schema",45565769,470,99
2379,2,"database_schema",45565770,14,12
2379,2,"database_schema",45566810,1238,211
2379,2,"database_schema",45568007,16204,4716
2379,2,"database_schema",45568046,1428,491
2379,2,"database_schema",45571742,2594,750
2379,2,"database_schema",45571743,3860,1933
2379,2,"database_schema",45575487,1356,251
2379,2,"database_schema",45575488,360,89
2379,2,"database_schema",45575489,20,7
2379,2,"database_schema",45577675,4532,1612
2379,2,"database_schema",45580343,184,66
2379,2,"database_schema",45585163,54,19
2379,2,"database_schema",45585165,36,12
2379,2,"database_schema",45585166,14,-5
2379,2,"database_schema",45585167,8,5
2379,2,"database_schema",45585168,12,6
2379,2,"database_schema",45586220,94475,44150
2379,2,"database_schema",45589997,-5,-5
2379,2,"database_schema",45589998,10,-5
2379,2,"database_schema",45589999,906,272
2379,2,"database_schema",45591117,-5,-5
2379,2,"database_schema",45594844,54,40
2379,2,"database_schema",45594845,414,140
2379,2,"database_schema",45599682,-5,-5
2379,2,"database_schema",45600719,218041,107005
2379,2,"database_schema",45600720,4900,1193
2379,2,"database_schema",45604480,-5,-5
2379,2,"database_schema",45604481,20,5
2379,2,"database_schema",45604482,40,15
2379,2,"database_schema",45605476,1267,825
2379,2,"database_schema",45606676,22672,7097
2379,2,"database_schema",45606677,919,560
2379,2,"database_schema",45609260,-5,-5
2379,2,"database_schema",45609261,380,139
2379,2,"database_schema",45757177,9930,8493
2379,2,"database_schema",45890719,330,259
2379,2,"database_schema",45890720,7476,5505
2379,2,"database_schema",45890721,149,124
2379,4,"database_schema",19094,-5,-5
2379,4,"database_schema",19098,6,-5
2379,4,"database_schema",19101,-5,-5
2379,4,"database_schema",19102,-5,-5
2379,4,"database_schema",437264,40,33
2379,4,"database_schema",440612,1971,1158
2379,4,"database_schema",709833,199,195
2379,4,"database_schema",915623,110,103
2379,4,"database_schema",915749,260,250
2379,4,"database_schema",915750,33,29
2379,4,"database_schema",937679,141,129
2379,4,"database_schema",937680,623,365
2379,4,"database_schema",937681,1673,561
2379,4,"database_schema",937682,3646,2073
2379,4,"database_schema",937683,4863,3342
2379,4,"database_schema",937684,258,224
2379,4,"database_schema",937685,92099,46868
2379,4,"database_schema",937686,9072,4717
2379,4,"database_schema",953268,290,217
2379,4,"database_schema",953352,155,128
2379,4,"database_schema",1314465,-5,-5
2379,4,"database_schema",1568180,25,21
2379,4,"database_schema",1765871,5408,2202
2379,4,"database_schema",2101868,107949,60443
2379,4,"database_schema",2101895,22535,13037
2379,4,"database_schema",2101896,1820,1271
2379,4,"database_schema",2101897,626942,335023
2379,4,"database_schema",2108525,9954,6563
2379,4,"database_schema",2108526,508,442
2379,4,"database_schema",2514534,388096,239003
2379,4,"database_schema",2514535,53735,34730
2379,4,"database_schema",2514536,34404,26634
2379,4,"database_schema",2514537,2515,1278
2379,4,"database_schema",2617450,-5,-5
2379,4,"database_schema",2617464,46552,12420
2379,4,"database_schema",2617465,15341,3435
2379,4,"database_schema",2617806,-5,-5
2379,4,"database_schema",2617852,-5,-5
2379,4,"database_schema",2617854,-5,-5
2379,4,"database_schema",2617856,-5,-5
2379,4,"database_schema",2617959,766,571
2379,4,"database_schema",2721265,48,23
2379,4,"database_schema",2721431,-5,-5
2379,4,"database_schema",2721536,138,75
2379,4,"database_schema",4021160,138,75
2379,4,"database_schema",4070519,2035,1076
2379,4,"database_schema",4103418,97663,46284
2379,4,"database_schema",35210432,2035,1076
2379,4,"database_schema",35225267,195348,120085
2379,4,"database_schema",35225315,1081,636
2379,4,"database_schema",36249641,36934,13024
2379,4,"database_schema",37017812,145391,76423
