covariate_id,covariate_name,analysis_id,concept_id
1010,time (days) between cohort start and end,10,0
21604686404,drug_era group: ANTIDEPRESSANTS,404,21604686
21604685404,drug_era group: PSYCHOANALEPTICS,404,21604685
21604180404,drug_era group: NERVOUS SYSTEM,404,21604180
21604459404,drug_era group: Ethers of tropine or tropine derivatives,404,21604459
21604443404,drug_era group: ANTI-PARKINSON DRUGS,404,21604443
1123896404,drug_era group: Opioids in combination with non-opioid analgesics,404,1123896
745466404,drug_era group: valproate,404,745466
21604788404,drug_era group: Antidepressants in combination with psycholeptics,404,21604788
21604304404,drug_era group: Salicylic acid and derivatives,404,21604304
21604172404,drug_era group: Quinine and derivatives,404,21604172
21604490404,drug_era group: ANTIPSYCHOTICS,404,21604490
21604489404,drug_era group: PSYCHOLEPTICS,404,21604489
21600452404,drug_era group: Rauwolfia alkaloids and diuretics in combination,404,21600452
21600213404,drug_era group: Belladonna and derivatives in combination with psycholeptics,404,21600213
21600201404,drug_era group: ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,404,21600201
21600109404,drug_era group: Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),404,21600109
21600202404,drug_era group: Synthetic anticholinergic agents in combination with psycholeptics,404,21600202
21604787404,drug_era group: PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,404,21604787
21600474404,drug_era group: Hydrazinophthalazine derivatives and diuretics,404,21600474
751246404,drug_era group: lithium carbonate,404,751246
21604540404,"drug_era group: Diazepines, oxazepines, thiazepines and oxepines",404,21604540
800878404,drug_era group: clozapine,404,800878
21600451404,drug_era group: ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,404,21600451
21604303404,drug_era group: OTHER ANALGESICS AND ANTIPYRETICS,404,21604303
21600080404,drug_era group: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),404,21600080
21604104404,"drug_era group: Oxazol, thiazine, and triazine derivatives",404,21604104
21604678404,"drug_era group: Hypnotics and sedatives in combination, excl. barbiturates",404,21604678
21603550404,drug_era group: SENSORY ORGANS,404,21603550
21605058404,drug_era group: MYDRIATICS AND CYCLOPLEGICS,404,21605058
21604291404,drug_era group: Opioids in combination with antispasmodics,404,21604291
21602178404,"drug_era group: CORTICOSTEROIDS, OTHER COMBINATIONS",404,21602178
21600190404,"drug_era group: BELLADONNA AND DERIVATIVES, PLAIN",404,21600190
21600127404,drug_era group: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,404,21600127
21600001404,drug_era group: ALIMENTARY TRACT AND METABOLISM,404,21600001
914335404,drug_era group: atropine,404,914335
21603633404,drug_era group: Corticosteroids and mydriatics in combination,404,21603633
21603551404,drug_era group: OPHTHALMOLOGICALS,404,21603551
21605189404,drug_era group: Antiinfectives,404,21605189
21602182404,"drug_era group: Corticosteroids, moderately potent, other combinations",404,21602182
21601880404,drug_era group: Nicotinic acid and derivatives,404,21601880
21601119404,drug_era group: VITAMIN B12 AND FOLIC ACID,404,21601119
21605188404,drug_era group: ANTIINFECTIVES,404,21605188
21605187404,drug_era group: OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,404,21605187
21604606404,drug_era group: HYPNOTICS AND SEDATIVES,404,21604606
21601120404,drug_era group: Vitamin B12 (cyanocobalamin and analogues),404,21601120
21600195404,"drug_era group: Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",404,21600195
21605059404,drug_era group: Anticholinergics,404,21605059
21600191404,"drug_era group: Belladonna alkaloids, tertiary amines",404,21600191
21600531404,drug_era group: DRUGS FOR CONSTIPATION,404,21600531
