cohort_id,time_id,covariate_id,sum_value,mean,sd,database_id
2379,10,2212093701,264,0.9072,0.2901,database_schema
2379,10,2212095701,248,0.8522,0.3549,database_schema
2379,9,2212121701,32,0.11,0.3128,database_schema
2379,10,2212121701,50,0.1718,0.3772,database_schema
2379,3,2212121701,28,0.0962,0.2949,database_schema
2379,10,2212392701,214,0.7354,0.4411,database_schema
2379,10,2212451701,20,0.0687,0.253,database_schema
2379,1,2212648701,267,0.9175,0.2751,database_schema
2379,10,2212648701,284,0.9759,0.1532,database_schema
2379,3,2212648701,251,0.8625,0.3443,database_schema
2379,6,2212648701,198,0.6804,0.4663,database_schema
2379,10,2212762701,5,0.0172,0.1299,database_schema
2379,9,44816350701,64,0.2199,0.4142,database_schema
2379,4,44816350701,18,0.0619,0.2409,database_schema
2379,1,44816350701,58,0.1993,0.3995,database_schema
2379,6,44816350701,16,0.055,0.2279,database_schema
2379,9,2212539701,8,0.0275,0.1635,database_schema
2379,10,2212539701,18,0.0619,0.2409,database_schema
2379,2,2212090701,100,0.3436,0.4749,database_schema
2379,1,2212090701,110,0.378,0.4849,database_schema
2379,5,2212090701,91,0.3127,0.4636,database_schema
2379,2,2212093701,191,0.6564,0.4749,database_schema
2379,1,2212093701,200,0.6873,0.4636,database_schema
2379,5,2212093701,183,0.6289,0.4831,database_schema
2379,4,2212093701,39,0.134,0.3407,database_schema
2379,4,2212095701,33,0.1134,0.3171,database_schema
2379,1,2212095701,175,0.6014,0.4896,database_schema
2379,3,2212095701,111,0.3814,0.4857,database_schema
2379,6,2212095701,32,0.11,0.3128,database_schema
2379,8,2212095701,13,0.0447,0.2066,database_schema
2379,8,2212166701,9,0.0309,0.1731,database_schema
2379,9,2212188701,38,0.1306,0.3369,database_schema
2379,2,2212188701,32,0.11,0.3128,database_schema
2379,8,2212188701,-5,-0.0172,0,database_schema
2379,9,2212238701,41,0.1409,0.3479,database_schema
2379,10,2212238701,104,0.3574,0.4792,database_schema
2379,10,2212241701,20,0.0687,0.253,database_schema
2379,10,2212295701,61,0.2096,0.407,database_schema
2379,1,2212360701,10,0.0344,0.1822,database_schema
2379,10,2212360701,20,0.0687,0.253,database_schema
2379,9,2212360701,11,0.0378,0.1907,database_schema
2379,2,2212360701,8,0.0275,0.1635,database_schema
2379,5,2212360701,8,0.0275,0.1635,database_schema
2379,9,2212392701,144,0.4948,0.5,database_schema
2379,2,2212392701,134,0.4605,0.4984,database_schema
2379,5,2212392701,128,0.4399,0.4964,database_schema
2379,6,2212392701,29,0.0997,0.2995,database_schema
2379,8,2212392701,13,0.0447,0.2066,database_schema
2379,9,2212507701,5,0.0172,0.1299,database_schema
2379,10,2212507701,19,0.0653,0.247,database_schema
2379,9,2212523701,15,0.0515,0.2211,database_schema
2379,9,2212545701,5,0.0172,0.1299,database_schema
2379,10,2212545701,10,0.0344,0.1822,database_schema
2379,10,2212593701,213,0.732,0.4429,database_schema
2379,1,2212593701,148,0.5086,0.4999,database_schema
2379,4,2212593701,24,0.0825,0.2751,database_schema
2379,3,2212593701,90,0.3093,0.4622,database_schema
2379,3,2212649701,46,0.1581,0.3648,database_schema
2379,8,2212649701,15,0.0515,0.2211,database_schema
2379,10,2212996701,78,0.268,0.4429,database_schema
2379,10,2213087701,20,0.0687,0.253,database_schema
2379,10,2213215701,-5,-0.0172,0,database_schema
2379,9,2213288701,8,0.0275,0.1635,database_schema
2379,10,2212168701,131,0.4502,0.4975,database_schema
2379,6,2212649701,12,0.0412,0.1988,database_schema
2379,10,2212337701,62,0.2131,0.4095,database_schema
