"cohort_id","visit_concept_id","visit_context","subjects","database_id"
2379,9202,"On visit start",13,"database_schema"
2379,581458,"After",273,"database_schema"
2379,581458,"On visit start",290,"database_schema"
2379,8756,"On visit start",26,"database_schema"
2379,8717,"Before",13,"database_schema"
2379,8717,"During visit",-5,"database_schema"
2379,8870,"Before",28,"database_schema"
2379,9201,"During visit",23,"database_schema"
2379,8964,"After",15,"database_schema"
2379,8668,"After",12,"database_schema"
2379,8782,"Before",-5,"database_schema"
2379,8809,"On visit start",11,"database_schema"
2379,581477,"On visit start",14,"database_schema"
2379,8782,"After",-5,"database_schema"
2379,8883,"Before",21,"database_schema"
2379,8966,"After",-5,"database_schema"
2379,8964,"On visit start",-5,"database_schema"
2379,8717,"After",10,"database_schema"
2379,8966,"Before",7,"database_schema"
2379,8761,"After",-5,"database_schema"
2379,8883,"On visit start",-5,"database_schema"
2379,5083,"After",7,"database_schema"
2379,5083,"Before",-5,"database_schema"
2379,8761,"Before",-5,"database_schema"
2379,8966,"On visit start",-5,"database_schema"
2379,8971,"On visit start",-5,"database_schema"
2379,9202,"After",71,"database_schema"
2379,9202,"Before",64,"database_schema"
2379,581477,"Before",120,"database_schema"
2379,581458,"Before",254,"database_schema"
2379,581477,"After",130,"database_schema"
2379,8756,"After",152,"database_schema"
2379,8756,"Before",142,"database_schema"
2379,8883,"After",28,"database_schema"
2379,581476,"Before",-5,"database_schema"
2379,8809,"After",114,"database_schema"
2379,8809,"Before",106,"database_schema"
2379,8947,"Before",-5,"database_schema"
2379,8947,"After",-5,"database_schema"
2379,8964,"Before",22,"database_schema"
2379,9201,"Before",30,"database_schema"
2379,9201,"After",19,"database_schema"
2379,581476,"After",-5,"database_schema"
2379,8870,"After",31,"database_schema"
2379,8668,"Before",12,"database_schema"
2379,8717,"On visit start",-5,"database_schema"
2379,581385,"After",-5,"database_schema"
2379,8716,"After",5,"database_schema"
2379,8716,"Before",5,"database_schema"
2379,8971,"After",-5,"database_schema"
2379,9201,"On visit start",-5,"database_schema"
2379,581385,"Before",-5,"database_schema"
2379,9202,"During visit",-5,"database_schema"
2379,8870,"On visit start",-5,"database_schema"
